"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\eqz03\frc-app\lib\app.dart", "Dart", 79, 3, 9, 91
"c:\Users\eqz03\frc-app\lib\home\home_page.dart", "Dart", 64, 1, 8, 73
"c:\Users\eqz03\frc-app\lib\main.dart", "Dart", 5, 0, 1, 6
"c:\Users\eqz03\frc-app\lib\navigation_stuff.dart", "Dart", 2, 2, 2, 6
"c:\Users\eqz03\frc-app\lib\pages\analyze_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\compare_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\dashboard_page.dart", "Dart", 67, 3, 5, 75
"c:\Users\eqz03\frc-app\lib\pages\export_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\import_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\match_scout_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\pit_scout_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\pages\settings_page.dart", "Dart", 11, 0, 3, 14
"c:\Users\eqz03\frc-app\lib\widgets\app_drawer.dart", "Dart", 57, 0, 5, 62
"c:\Users\eqz03\frc-app\lib\widgets\app_header.dart", "Dart", 61, 1, 4, 66
"c:\Users\eqz03\frc-app\lib\widgets\system_clock.dart", "Dart", 76, 0, 10, 86
"c:\Users\eqz03\frc-app\lib\widgets\user_menu\user_menu.dart", "Dart", 87, 1, 8, 96
"Total", "-", 575, 11, 73, 659